Date,Open,High,Low,Close,Volume,ret,log_ret,ret_lag1,ret_lag5,ret_lag10,ret_lag20,ret_mean5,ret_vol5,ret_mean10,ret_vol10,ret_mean20,ret_vol20,rsi,macd,macd_signal,stoch_k,stoch_d
1999-02-23,0.0410388,0.0428759,0.0387442,0.0419634,38206287,0.0457620909559872,0.0447458932680598,0.0058303776209753,0.0058303776209753,-0.0365209072217259,0.1036466339377371,0.0095710375319844,0.03794259121408227,0.014943712472233495,0.04183657575239726,0.001504500908070041,0.044560961015655765,71.79398413114974,0.00010284319523821278,-0.0005371122465598143,90.2904873377314,80.98152732571954
1999-02-24,0.0481421,0.0502051,0.044251,0.0454024,167518929,0.0819523680159377,0.0787671572888696,0.0457620909559872,-0.0515561802372959,-0.0376611157894158,-0.077406497972245,0.03627274718263111,0.030398086581365863,0.026905060852768843,0.042222749327171565,0.009472444207479174,0.043951562367057245,75.53693794038598,0.0006003749661754806,-0.00030961480401275535,70.07290628115653,79.3198827341465
1999-02-25,0.0472315,0.0488351,0.0433452,0.0440182,40705352,-0.0304873751167339,-0.0309617823282435,0.0819523680159377,0.0119290667213196,-0.0064930437781648,0.0,0.02778945881502042,0.04242830103426368,0.02450562771891193,0.044926768272431326,0.007948075451642481,0.04481754990760091,68.14987479090577,0.0008729166674377176,-7.310850972266073e-05,61.447532402791616,73.93697534055985
1999-02-26,0.0444845,0.0458586,0.0414991,0.0419634,47757932,-0.046680691168653,-0.0478053749606261,-0.0304873751167339,0.0358898325989358,0.0855723134390447,-0.0059681143370561,0.011275354061502657,0.053191286454449656,0.011280327258142162,0.044415959013483386,0.005912446610062636,0.046380241325767305,59.77172151730804,0.0009125830525584244,0.00012402980273355633,48.64344466600196,60.054627783316704
1999-03-01,0.0428759,0.0440182,0.0401271,0.04218,25265792,0.0051616408584624,0.0051483652532947,-0.046680691168653,0.0058303776209753,0.0543334055699735,-0.0480473379000114,0.011141606709000077,0.053209238149114914,0.006363150786991051,0.04176266442973443,0.008572895547986325,0.04461458017354327,64.35094405857427,0.000950539530330384,0.00028933174825292185,49.993145563310065,53.36137421070121
1999-03-02,0.0419634,0.04218,0.0410388,0.0417307,15439579,-0.0106519677572308,-0.0107091060851018,0.0051616408584624,0.0457620909559872,0.0058303776209753,0.0190258268768441,-0.0001412050336435218,0.049911834398408184,0.0047149162491704425,0.042109836411390066,0.00708900581628258,0.044741978133215905,67.4766522232973,0.000933603556729154,0.00041818610994816827,47.19341974077767,48.61000332336323
1999-03-03,0.0419634,0.0419634,0.0387442,0.038972,17310627,-0.0661072064451351,-0.0683936294024318,-0.0106519677572308,0.0819523680159377,-0.0515561802372959,-0.0748097185730923,-0.02975311992585808,0.02825153066787567,0.0032598136283865224,0.04445635616361317,0.007524131422680441,0.04393868052850538,59.551135387999636,0.0006896280383039272,0.00047247449561932007,26.816381309775085,41.334315537954275
1999-03-04,0.0408112,0.0410388,0.0378386,0.0380583,16329315,-0.0234450374627936,-0.0237242450090034,-0.0661072064451351,-0.0304873751167339,0.0119290667213196,0.0204584112819881,-0.02834465239507002,0.028381022753156508,-0.00027759679002479777,0.04509270552988484,0.005328958985441355,0.0443532254037071,50.56394933953499,0.0004177323695855398,0.00046152607041256404,14.524766200592541,29.51152241704843
1999-03-05,0.0385123,0.0403518,0.0385123,0.0401271,21772336,0.0543587075618194,0.0529327219751825,-0.0234450374627936,-0.046680691168653,0.0358898325989358,0.0524301481241338,-0.008136772648975537,0.04382856722832198,0.0015692907062635625,0.047073349028022925,0.005425386957325635,0.044462977935307776,50.59666728231649,0.0003649806933009314,0.00044221699499023755,29.0826056055563,23.474584371974643
1999-03-08,0.0392015,0.0419634,0.0385123,0.0408112,21288285,0.0170483289348095,0.0169046370138412,0.0543587075618194,0.0051616408584624,0.0058303776209753,0.0314910831602306,-0.005759435033706118,0.04503597476028482,0.0026910858376469823,0.047319201197874916,0.00470324924605458,0.04413341873457578,51.715129543551406,0.0003740637880260897,0.000428586353597408,26.770916971336348,23.459429592495066
