Date,Open,High,Low,Close,Volume,ret,log_ret
1999-01-25,0.0405864,0.0419634,0.0376018,0.0414991,139413824,0.1036466339377371,0.09861981866407339
1999-01-26,0.0419634,0.0428759,0.0378386,0.0382868,93919355,-0.07740649797224508,-0.08056655099209147
1999-01-27,0.0385123,0.0394331,0.0362297,0.0382868,67279765,0.0,0.0
1999-01-28,0.0382868,0.0385123,0.0378386,0.0380583,62320835,-0.00596811433705613,-0.005985994708321006
1999-01-29,0.0380583,0.0382868,0.0362297,0.0362297,67135680,-0.04804733790001148,-0.04923997011197087
1999-02-01,0.0362297,0.037377,0.0362297,0.036919,42340959,0.019025826876844176,0.018847099235243827
1999-02-02,0.0362297,0.037377,0.0330168,0.0341571,72003214,-0.07480971857309238,-0.07775585297432992
1999-02-03,0.0337177,0.0353183,0.0334779,0.0348559,20961127,0.02045841128198811,0.0202519491614683
1999-02-04,0.0353183,0.0378386,0.0348559,0.0366834,50256916,0.052430148124133824,0.05110191679395416
1999-02-05,0.037377,0.0382868,0.0364567,0.0378386,37682947,0.03149108316023064,0.03100540895494691
1999-02-08,0.0380583,0.0382868,0.0364567,0.0364567,42079279,-0.03652090722172596,-0.03720449060728494
1999-02-09,0.037377,0.0376018,0.0346193,0.0350837,23800379,-0.03766111578941589,-0.0383886198599389
1999-02-10,0.0350837,0.0359942,0.0341571,0.0348559,41045539,-0.006493043778164842,-0.006514215281677222
1999-02-11,0.0348559,0.0392015,0.0348559,0.0378386,36452934,0.0855723134390447,0.082107325748901
1999-02-12,0.0382868,0.0401271,0.0382868,0.0398945,30538831,0.05433340556997357,0.0529087241694436
1999-02-16,0.0405864,0.04218,0.0359942,0.0401271,58225371,0.00583037762097538,0.005813446746426653
1999-02-17,0.0392015,0.0396677,0.037377,0.0380583,18540590,-0.05155618023729591,-0.05293272197518264
1999-02-18,0.0392015,0.0396677,0.0376018,0.0385123,19809611,0.011929066721319659,0.011858476236093646
1999-02-19,0.0382868,0.0405864,0.0378386,0.0398945,21052724,0.035889832598935856,0.035260798992662414
1999-02-22,0.0405864,0.0410388,0.0380583,0.0401271,56511247,0.00583037762097538,0.005813446746426653
1999-02-23,0.0410388,0.0428759,0.0387442,0.0419634,38206287,0.04576209095598727,0.04474589326805985
1999-02-24,0.0481421,0.0502051,0.044251,0.0454024,167518929,0.08195236801593775,0.07876715728886964
1999-02-25,0.0472315,0.0488351,0.0433452,0.0440182,40705352,-0.03048737511673394,-0.030961782328243547
1999-02-26,0.0444845,0.0458586,0.0414991,0.0419634,47757932,-0.04668069116865303,-0.047805374960626146
1999-03-01,0.0428759,0.0440182,0.0401271,0.04218,25265792,0.005161640858462491,0.005148365253294799
1999-03-02,0.0419634,0.04218,0.0410388,0.0417307,15439579,-0.010651967757230874,-0.010709106085101849
1999-03-03,0.0419634,0.0419634,0.0387442,0.038972,17310627,-0.06610720644513512,-0.06839362940243185
1999-03-04,0.0408112,0.0410388,0.0378386,0.0380583,16329315,-0.023445037462793694,-0.023724245009003494
1999-03-05,0.0385123,0.0403518,0.0385123,0.0401271,21772336,0.054358707561819486,0.05293272197518259
1999-03-08,0.0392015,0.0419634,0.0385123,0.0408112,21288285,0.017048328934809565,0.016904637013841227
1999-03-09,0.0408112,0.0426466,0.0408112,0.04218,39645642,0.03353981260046268,0.03298962150751337
1999-03-10,0.0426466,0.0426466,0.0408112,0.0414991,64178733,-0.01614272166903763,-0.016274434796124945
1999-03-11,0.0408112,0.0414991,0.0396677,0.0396677,15020865,-0.04413107754144063,-0.04513448573022228
1999-03-12,0.0398945,0.0398945,0.0382868,0.038972,25409737,-0.017538198584742815,-0.01769381496118672
1999-03-15,0.0398945,0.0410388,0.0396677,0.0405864,30159616,0.04142461254233809,0.04058959555835278
1999-03-16,0.0408112,0.0412705,0.038972,0.0392015,21942510,-0.0341222675576055,-0.034718023751006424
1999-03-17,0.0396677,0.0403518,0.0385123,0.0394331,14510454,0.005907937196280688,0.00589055376852041
1999-03-18,0.0396677,0.0405864,0.0387442,0.0401271,13110558,0.017599427891796582,0.01744635139031239
1999-03-19,0.0398945,0.0412705,0.0398945,0.0401271,29400494,0.0,0.0
1999-03-22,0.0410388,0.0410388,0.038972,0.038972,10467489,-0.028786032382105864,-0.029208476966179123
1999-03-23,0.0392015,0.0392015,0.0357676,0.0364567,44813824,-0.06454120907318073,-0.06671818455697595
1999-03-24,0.0362297,0.0364567,0.0348559,0.0362297,17088025,-0.006226564664382761,-0.006246030563998401
1999-03-25,0.0362297,0.0382868,0.0359942,0.0366834,11291817,0.012522874878897694,0.012445112216336457
1999-03-26,0.037377,0.0401271,0.037377,0.0401271,24350028,0.0938762492026366,0.08972757987081692
1999-03-29,0.0412705,0.04218,0.0405864,0.0412705,18527400,0.028494458856981986,0.028096042499844386
1999-03-30,0.0412705,0.0417307,0.0376018,0.0378386,19299291,-0.08315624962140034,-0.08681821341571457
1999-03-31,0.038972,0.0408112,0.0371475,0.0403518,41869987,0.06641894784690772,0.06430625777300006
1999-04-01,0.0403518,0.0405864,0.0385123,0.0392015,8544193,-0.028506782844879286,-0.028920992015962627
1999-04-05,0.0387442,0.0396677,0.0378386,0.0380583,27293895,-0.029162149407548132,-0.0295958168163499
1999-04-06,0.0382868,0.0385123,0.0362297,0.036919,19377868,-0.029935651355946113,-0.030392870876727002
1999-04-07,0.037377,0.0403518,0.036919,0.0401271,24781851,0.08689563639318498,0.08332559285190953
1999-04-08,0.0403518,0.0419634,0.0398945,0.0408112,35550119,0.017048328934809565,0.016904637013841227
1999-04-09,0.0410388,0.0410388,0.0398945,0.0401271,13345989,-0.016762555376955368,-0.016904637013841324
